model_key,description,params_M,n_seeds,acc_mean,acc_std,f1_mean,f1_std,f1_min,f1_max,last_f1_mean,last_f1_std,last_acc_mean,wf1_mean,prec_mean,rec_mean,val_f1_mean,best_epoch_mean,train_min_mean,f1_none_mean,f1_Center_mean,f1_Donut_mean,f1_Edge-Loc_mean,f1_Edge-Ring_mean,f1_Loc_mean,f1_Near-full_mean,f1_Random_mean,f1_Scratch_mean
wafercnn,"WaferCNN (custom, scratch, 64px)",1.207,3,0.9511107684796155,0.009745544616535023,0.8310786584098867,0.008806333821036133,0.8224725939098482,0.8400724534692374,0.8219720983779603,0.004646721072364943,0.9433887111488005,0.9556025209991441,0.766795525850576,0.9337614696892625,0.8334770010726537,17.0,38.473333333333336,0.9747218582205407,0.848457545554684,0.9199393420950308,0.7668880011843878,0.9664787570640282,0.7188310452731401,0.9310144927536231,0.7848763178422274,0.5685005657013167
wafercnn@ep40,"WaferCNN (custom, scratch, 64px) [ep40]",1.207,1,0.9515476236364337,0.0,0.8366711969188556,0.0,0.8366711969188556,0.8366711969188556,0.8364743309866112,0.0,0.9501214200362332,0.9562590492612303,0.7734145566371452,0.9382450571571638,0.8366432930986929,28.0,32.89833333333333,0.9750150372461018,0.8635097493036211,0.9166666666666666,0.7847533632286996,0.9681101040617657,0.6892988929889299,0.9777777777777777,0.7959866220735786,0.5589225589225589
mv3_pre64,"MobileNetV3-S (ImageNet, 64px)",1.527,3,0.9552351951072223,0.002378741674899314,0.8340885531753289,0.004406825969014835,0.831296696738971,0.8391688087880615,0.831361993992994,0.0018944313038866674,0.9536933533772758,0.9583552773045989,0.7884985379547241,0.8961204369699378,0.8300047332690782,21.333333333333332,32.57833333333333,0.9776848379839268,0.8738253841159157,0.8811917745467044,0.7537128090470769,0.9591555511610906,0.7309255479219093,0.9265700483091788,0.8210020622192614,0.5827289632728964
mv3_pre128,"MobileNetV3-S (ImageNet, 128px upsample)",1.527,3,0.9691374680389058,0.0010904738538446575,0.8755793801806432,0.0025730203421187947,0.8733199530996942,0.878379924541507,0.8756433663141454,0.0025027064453217503,0.9688676457361652,0.9702258631711803,0.8529051814726912,0.9029678427851776,0.878302219105657,23.0,36.97611111111111,0.9851999654807356,0.895541271631327,0.9038729921379115,0.8117437406647285,0.9734665799937035,0.7747916822252234,0.9130434782608695,0.8742147003016568,0.7483400109296324
mv3_pre128@ep40,"MobileNetV3-S (ImageNet, 128px upsample) [ep40]",1.527,1,0.9741741510233974,0.0,0.884677132654303,0.0,0.884677132654303,0.884677132654303,0.8845054867699893,0.0,0.9740199668504028,0.974371254012663,0.887473932047882,0.8839633298218642,0.8903040282307217,39.0,55.80166666666666,0.9881211461733769,0.9176829268292683,0.8701298701298701,0.8352868599629858,0.9718929901794785,0.7914735866543096,0.9333333333333333,0.8674698795180723,0.7867036011080333
mv3_scratch64,"MobileNetV3-S (scratch, 64px)",1.527,1,0.9237173804109008,0.0,0.7752363444412641,0.0,0.7752363444412641,0.7752363444412641,0.7752363444412641,0.0,0.9237173804109008,0.9337280690088348,0.709734690701567,0.8959585632260736,0.7787118510975856,25.0,44.925,0.9587556306306306,0.8181212524983345,0.9047619047619048,0.6760837798343887,0.9335080248935473,0.6565656565656566,0.9130434782608695,0.7561837455830389,0.3601036269430052
effb0_pre128,"EfficientNet-B0 (ImageNet, 128px upsample)",4.019,1,0.9754461704506032,0.0,0.8894489882360301,0.0,0.8894489882360301,0.8894489882360301,0.8894489882360301,0.0,0.9754461704506032,0.9759203079569198,0.8755386728205161,0.9062998218928063,0.8997029126745877,25.0,85.89166666666667,0.988800799618364,0.9208741522230596,0.9113924050632911,0.8403361344537815,0.9755434782608695,0.8106617647058824,0.8936170212765957,0.8828125,0.7810026385224275
vit_pre64,"ViT-Tiny/16 (ImageNet, 64px → 16 tokens)",5.393,1,0.9652700150329568,0.0,0.8632612908625766,0.0,0.8632612908625766,0.8632612908625766,0.8591274214866246,0.0,0.9644220020814863,0.9667830229964445,0.8410315507988212,0.8905598077830087,0.873663206290163,24.0,42.86333333333334,0.9836522215626284,0.913767019667171,0.9135802469135802,0.7797913234486545,0.9678293261090416,0.7408056042031523,0.9545454545454546,0.8327137546468402,0.6826666666666666
wafercnn_128,"WaferCNN (scratch, 128px upsample → 8×8)",1.207,1,0.954130208534094,0.0,0.8195935342696784,0.0,0.8195935342696784,0.8195935342696784,0.8260031940469137,0.0,0.9467679142735999,0.9587419093587417,0.7550239350899899,0.9288867322398252,0.8210400618465497,9.0,51.736666666666665,0.9771224513304919,0.8792480115690527,0.8888888888888888,0.7826564215148188,0.9767282683093771,0.7111882046834345,0.8627450980392157,0.7947882736156352,0.5029761904761905
mv3_pre128_bil,"MobileNetV3-S (ImageNet, 128px bilinear)",1.527,1,0.9703966387850287,0.0,0.8747607306742099,0.0,0.8747607306742099,0.8747607306742099,0.8712748564259165,0.0,0.9695100797903096,0.9712314364759916,0.8619453631437299,0.8914541020725346,0.8789967219641227,22.0,43.01,0.9859994991690759,0.8852223816355811,0.8734177215189873,0.8198090692124105,0.975110808046369,0.7889087656529516,0.9090909090909091,0.8924302788844621,0.7428571428571429
mv3_pre128_3ch,"MobileNetV3-S (ImageNet, 128px, 3ch + ImageNet norm)",1.527,1,0.9699340862660448,0.0,0.8741371573332276,0.0,0.8741371573332276,0.8741371573332276,0.872105044014923,0.0,0.968777704968585,0.9708157812770338,0.85559488619196,0.8971984977297035,0.8777109910008577,22.0,42.056666666666665,0.9857211177153788,0.8936170212765957,0.8860759493670886,0.8204826368452031,0.9715254237288136,0.7894736842105263,0.9333333333333333,0.8638132295719845,0.7231920199501247
mv3_pre128_norm,"MobileNetV3-S (ImageNet, 128px, 1ch + ImageNet norm)",1.527,3,0.9696257179200556,0.0009089022952281332,0.8793529181240946,0.003396458924189344,0.8762644367838909,0.8829904565470533,0.8791330737901438,0.002487658283276162,0.9692659548497348,0.9705562436331907,0.861764739665626,0.901381821240275,0.8823147055970031,22.333333333333332,45.61333333333334,0.9854115455141121,0.8978509997326366,0.9083826793179979,0.8101125690573512,0.9726830472436552,0.779527080191443,0.9265700483091788,0.8822831518515167,0.7513551418989605
