model_key,description,seed,params_M,best_epoch,epochs_run,val_f1_macro,test_accuracy,test_f1_macro,test_f1_weighted,test_precision_macro,test_recall_macro,ci_lo,ci_hi,last_test_accuracy,last_test_f1_macro,train_min,f1_none,f1_Center,f1_Donut,f1_Edge-Loc,f1_Edge-Ring,f1_Loc,f1_Near-full,f1_Random,f1_Scratch
effb0_pre128,"EfficientNet-B0 (ImageNet, 128px upsample)",42,4.019,25,25,0.8997029126745877,0.9754461704506032,0.8894489882360301,0.9759203079569198,0.8755386728205161,0.9062998218928063,0.8709891999459749,0.9033843313805703,0.9754461704506032,0.8894489882360301,85.89166666666667,0.988800799618364,0.9208741522230596,0.9113924050632911,0.8403361344537815,0.9755434782608695,0.8106617647058824,0.8936170212765957,0.8828125,0.7810026385224275
mv3_pre128@ep40,"MobileNetV3-S (ImageNet, 128px upsample) [ep40]",42,1.527,39,40,0.8903040282307217,0.9741741510233974,0.884677132654303,0.974371254012663,0.887473932047882,0.8839633298218642,0.8667259204817824,0.8977187369854148,0.9740199668504028,0.8845054867699893,55.80166666666666,0.9881211461733769,0.9176829268292683,0.8701298701298701,0.8352868599629858,0.9718929901794785,0.7914735866543096,0.9333333333333333,0.8674698795180723,0.7867036011080333
mv3_pre128,"MobileNetV3-S (ImageNet, 128px upsample)",42,1.527,24,25,0.8801340081763478,0.9694329877038123,0.8750382629007282,0.9705278999197889,0.8513398244006948,0.9039968343185255,0.8576066166110234,0.8884026876493167,0.9697799020930501,0.8753168347590998,44.358333333333334,0.9854014598540146,0.8986784140969163,0.9113924050632911,0.8094415659182499,0.9736664415935179,0.7854609929078015,0.9130434782608695,0.8571428571428571,0.7411167512690355
mv3_pre128,"MobileNetV3-S (ImageNet, 128px upsample)",43,1.527,25,25,0.8723778134885225,0.9679296920171144,0.8733199530996942,0.9691515484671781,0.8501713699369552,0.9014604137245468,0.8559698055650078,0.8877744486273441,0.9679296920171144,0.8733199530996942,27.95,0.984503024078512,0.8851985559566787,0.8819875776397516,0.805730659025788,0.9745676500508647,0.7640449438202247,0.9130434782608695,0.8774703557312253,0.7733333333333333
mv3_pre128,"MobileNetV3-S (ImageNet, 128px upsample)",44,1.527,20,25,0.8823948356521009,0.9700497243957907,0.878379924541507,0.9709981411265736,0.8572043500804237,0.9034462803124605,0.8611842633352902,0.8917017549412801,0.968893343098331,0.8782933110836422,38.62,0.9856954125096806,0.902746844840386,0.9182389937106918,0.8200589970501475,0.9721656483367278,0.774869109947644,0.9130434782608695,0.888030888030888,0.7305699481865285
mv3_pre64,"MobileNetV3-S (ImageNet, 64px)",42,1.527,23,25,0.8309306352243032,0.9545927610530779,0.831296696738971,0.9578446579358929,0.785131684707256,0.8948968914584081,0.8138073896319746,0.8449748350292836,0.9540531164475966,0.8302351866683165,37.89833333333333,0.9772408238407548,0.8680851063829788,0.8795180722891566,0.7633832976445396,0.9606458123107972,0.7211774325429272,0.9333333333333333,0.8134328358208955,0.5648535564853556
mv3_pre64,"MobileNetV3-S (ImageNet, 64px)",43,1.527,19,25,0.8259200204249665,0.9532436495393748,0.8318001539989541,0.9568093446149775,0.7799584709707432,0.9032924390351769,0.8142169776444942,0.8457887780993905,0.9529352811933856,0.8335491583842999,30.941666666666666,0.9764109652153882,0.8790264853256979,0.8982035928143712,0.7329515877147319,0.9578982822499158,0.7366694011484823,0.9130434782608695,0.8086642599277978,0.5833333333333334
mv3_pre64,"MobileNetV3-S (ImageNet, 64px)",44,1.527,22,25,0.8331635441579649,0.9578691747292141,0.8391688087880615,0.9604118293629262,0.8004054581861733,0.8901719804162285,0.8216471875574896,0.8532230708291813,0.9540916624908453,0.8303016369263658,28.895,0.9794027248956374,0.8743645606390704,0.8658536585365854,0.7648035417819591,0.958922558922559,0.7349298100743188,0.9333333333333333,0.8409090909090909,0.6
mv3_scratch64,"MobileNetV3-S (scratch, 64px)",42,1.527,25,25,0.7787118510975856,0.9237173804109008,0.7752363444412641,0.9337280690088348,0.709734690701567,0.8959585632260736,0.7571845249889579,0.7891478677197161,0.9237173804109008,0.7752363444412641,44.925,0.9587556306306306,0.8181212524983345,0.9047619047619048,0.6760837798343887,0.9335080248935473,0.6565656565656566,0.9130434782608695,0.7561837455830389,0.3601036269430052
vit_pre64,"ViT-Tiny/16 (ImageNet, 64px → 16 tokens)",42,5.393,24,25,0.873663206290163,0.9652700150329568,0.8632612908625766,0.9667830229964445,0.8410315507988212,0.8905598077830087,0.8490110623308732,0.8756923435444582,0.9644220020814863,0.8591274214866246,42.86333333333334,0.9836522215626284,0.913767019667171,0.9135802469135802,0.7797913234486545,0.9678293261090416,0.7408056042031523,0.9545454545454546,0.8327137546468402,0.6826666666666666
wafercnn@ep40,"WaferCNN (custom, scratch, 64px) [ep40]",42,1.207,28,40,0.8366432930986929,0.9515476236364337,0.8366711969188556,0.9562590492612303,0.7734145566371452,0.9382450571571638,0.8238285667911197,0.848240072288621,0.9501214200362332,0.8364743309866112,32.89833333333333,0.9750150372461018,0.8635097493036211,0.9166666666666666,0.7847533632286996,0.9681101040617657,0.6892988929889299,0.9777777777777777,0.7959866220735786,0.5589225589225589
wafercnn,"WaferCNN (custom, scratch, 64px)",42,1.207,22,25,0.8265258780510317,0.9444936977219288,0.8224725939098482,0.9503401586091698,0.7539416466632177,0.9369157690093224,0.8088987144283486,0.8346312062261582,0.9412558300890413,0.8168663892713606,77.83500000000001,0.9703591770312682,0.8111979166666666,0.9090909090909091,0.7618048268625394,0.9696356275303644,0.6985789080029918,0.9565217391304348,0.7919463087248322,0.5331179321486268
wafercnn,"WaferCNN (custom, scratch, 64px)",43,1.207,22,25,0.8261449980291238,0.9465366380141078,0.8306909278505742,0.9517029107333812,0.7602703678084041,0.9412974996698777,0.8179637400351908,0.8432719365246193,0.9439155070731989,0.8259535248102529,23.125,0.9716063427204977,0.8384043272481406,0.9285714285714286,0.7455497382198953,0.9632352941176471,0.7032640949554896,0.9565217391304348,0.7880794701986755,0.5809859154929577
wafercnn,"WaferCNN (custom, scratch, 64px)",44,1.207,7,25,0.8477601271378056,0.96230196970281,0.8400724534692374,0.9647644936548815,0.7861745630801061,0.9230711403885873,0.8220946647342985,0.8544357234911257,0.9449947962841614,0.8230963810522673,14.46,0.9822000549098563,0.8957703927492447,0.9221556886227545,0.7933094384707288,0.9665653495440729,0.7546501328609388,0.88,0.7746031746031746,0.5913978494623656
