trial,val_f1,state,lr,batch_size,dropout,weight_decay
3,0.5581351213351441,COMPLETE,7.309539835912905e-05,32,0.21685785941408728,0.00012562773503807024
2,0.5520558421201652,COMPLETE,0.000462258900102083,16,0.2216968971838151,0.00037520558551242813
6,0.546218681214482,COMPLETE,4.066563313514796e-05,32,0.14881529393791154,0.0003058656666978527
0,0.5314995848463919,COMPLETE,5.6115164153345e-05,16,0.1624074561769746,2.9375384576328295e-05
1,0.5311220350962292,COMPLETE,1.3066739238053272e-05,16,0.10823379771832098,0.008123245085588688
4,0.5252636341968234,COMPLETE,8.168455894760161e-05,16,0.33696582754481696,1.3783237455007187e-05
11,0.5176363437457047,COMPLETE,0.0005314896491317638,64,0.2573946525251203,0.00012259423995875522
14,0.49748892613176765,PRUNED,0.00033634525552854406,64,0.31937197200576856,4.396579259210837e-05
19,0.4957428599923133,PRUNED,5.76260092787816e-05,64,0.24559219286625167,0.0023106298926508233
9,0.48848786477048645,PRUNED,0.0001569639638866114,16,0.11809091556421523,9.46217535646148e-05
13,0.4803284635872752,PRUNED,2.80332214706748e-05,32,0.2049085515253416,9.012779589354658e-05
5,0.47884705279425727,PRUNED,0.000164092867306479,64,0.4862528132298237,0.002661901888489057
8,0.4737471561620203,PRUNED,0.00012399967836846095,32,0.4757995766256756,0.004835952776465951
18,0.4716783298068199,PRUNED,9.858102425593379e-05,32,0.16557183685398646,4.6980883290308104e-05
16,0.46357062095078916,PRUNED,0.000904893547364333,32,0.19659229728055294,0.0010509751486396282
10,0.4632630362681861,PRUNED,0.0008022804245813815,32,0.37844712134332836,0.001032301585700146
17,0.4456819279039549,PRUNED,2.3717300866001865e-05,16,0.39236452092136637,0.000581618107592699
15,0.4445765239720863,PRUNED,0.0002475499221768529,16,0.28748208755513693,0.00021115590533041925
12,0.4389947535591005,PRUNED,0.0003691979171780841,32,0.2532336562338404,0.0007034141884024397
7,0.38689135596599944,PRUNED,1.1715937392307055e-05,16,0.2246844304357644,0.00036324869566766035
